Região;Sigla UF;Categoria Administrativa;Sub Categoria Administrativa;2017;2016
CENTRO-OESTE;DF;PÚBLICA;FEDERAL;9431;25177
CENTRO-OESTE;GO;PÚBLICA;FEDERAL;22245;33601
CENTRO-OESTE;MS;PÚBLICA;FEDERAL;13894;23810
CENTRO-OESTE;MT;PÚBLICA;FEDERAL;12494;25208
NORDESTE;AL;PÚBLICA;FEDERAL;8254;20994
NORDESTE;BA;PÚBLICA;FEDERAL;25945;43395
NORDESTE;CE;PÚBLICA;FEDERAL;26664;41488
NORDESTE;MA;PÚBLICA;FEDERAL;17982;23411
NORDESTE;PB;PÚBLICA;FEDERAL;20632;45253
NORDESTE;PE;PÚBLICA;FEDERAL;24883;44638
NORDESTE;PI;PÚBLICA;FEDERAL;19277;29581
NORDESTE;RN;PÚBLICA;FEDERAL;17395;37854
NORDESTE;SE;PÚBLICA;FEDERAL;6177;19772
NORTE;AC;PÚBLICA;FEDERAL;3474;8188
NORTE;AM;PÚBLICA;FEDERAL;2080;7029
NORTE;AP;PÚBLICA;FEDERAL;10601;23028
NORTE;PA;PÚBLICA;FEDERAL;17797;41535
NORTE;RO;PÚBLICA;FEDERAL;3441;8285
NORTE;RR;PÚBLICA;FEDERAL;2631;5882
NORTE;TO;PÚBLICA;FEDERAL;7179;13645
SUDESTE;ES;PÚBLICA;FEDERAL;7496;17385
SUDESTE;MG;PÚBLICA;FEDERAL;53653;119825
SUDESTE;RJ;PÚBLICA;FEDERAL;48294;116668
SUDESTE;SP;PÚBLICA;FEDERAL;95317;99097
SUL;PR;PÚBLICA;FEDERAL;40862;66544
SUL;RS;PÚBLICA;FEDERAL;34373;82987
SUL;SC;PÚBLICA;FEDERAL;19670;38286
