Região;Sigla UF;Categoria Administrativa;Sub Categoria Administrativa;2017;2016
CENTRO-OESTE;DF;PÚBLICA;FEDERAL;119171;165738
CENTRO-OESTE;GO;PÚBLICA;FEDERAL;208978;205993
CENTRO-OESTE;MS;PÚBLICA;FEDERAL;123592;137301
CENTRO-OESTE;MT;PÚBLICA;FEDERAL;160477;144901
NORDESTE;AL;PÚBLICA;FEDERAL;146783;162574
NORDESTE;BA;PÚBLICA;FEDERAL;619171;560427
NORDESTE;CE;PÚBLICA;FEDERAL;415754;454745
NORDESTE;MA;PÚBLICA;FEDERAL;371898;305878
NORDESTE;PB;PÚBLICA;FEDERAL;271552;291598
NORDESTE;PE;PÚBLICA;FEDERAL;386302;393193
NORDESTE;PI;PÚBLICA;FEDERAL;191090;200773
NORDESTE;RN;PÚBLICA;FEDERAL;179933;258376
NORDESTE;SE;PÚBLICA;FEDERAL;68507;126181
NORTE;AC;PÚBLICA;FEDERAL;50948;101826
NORTE;AM;PÚBLICA;FEDERAL;63415;63356
NORTE;AP;PÚBLICA;FEDERAL;213334;212563
NORTE;PA;PÚBLICA;FEDERAL;420449;405357
NORTE;RO;PÚBLICA;FEDERAL;30918;21227
NORTE;RR;PÚBLICA;FEDERAL;36270;30567
NORTE;TO;PÚBLICA;FEDERAL;131522;117385
SUDESTE;ES;PÚBLICA;FEDERAL;115345;69741
SUDESTE;MG;PÚBLICA;FEDERAL;1022166;893949
SUDESTE;RJ;PÚBLICA;FEDERAL;763266;852924
SUDESTE;SP;PÚBLICA;FEDERAL;1016986;1050965
SUL;PR;PÚBLICA;FEDERAL;347559;443831
SUL;RS;PÚBLICA;FEDERAL;302528;335931
SUL;SC;PÚBLICA;FEDERAL;200664;169523
