Ano Censo;Categoria Administrativa;Sub Categoria Administrativa;Id Categoria Administrativa;Número de Vínculos de Alunos;Região;UF;Nome Região
2017;PÚBLICA;FEDERAL;1;38403;CENTRO-OESTE;DISTRITO FEDERAL;CENTRO-OESTE
2017;PÚBLICA;FEDERAL;1;35334;CENTRO-OESTE;GOIÁS;CENTRO-OESTE
2017;PÚBLICA;FEDERAL;1;30177;CENTRO-OESTE;MATO GROSSO;CENTRO-OESTE
2017;PÚBLICA;FEDERAL;1;27824;CENTRO-OESTE;MATO GROSSO DO SUL;CENTRO-OESTE
2017;PÚBLICA;FEDERAL;1;26216;NORDESTE;ALAGOAS;NORDESTE
2017;PÚBLICA;FEDERAL;1;63512;NORDESTE;BAHIA;NORDESTE
2017;PÚBLICA;FEDERAL;1;50982;NORDESTE;CEARÁ;NORDESTE
2017;PÚBLICA;FEDERAL;1;41981;NORDESTE;MARANHÃO;NORDESTE
2017;PÚBLICA;FEDERAL;1;54173;NORDESTE;PARAÍBA;NORDESTE
2017;PÚBLICA;FEDERAL;1;55668;NORDESTE;PERNAMBUCO;NORDESTE
2017;PÚBLICA;FEDERAL;1;38824;NORDESTE;PIAUÍ;NORDESTE
2017;PÚBLICA;FEDERAL;1;41456;NORDESTE;RIO GRANDE DO NORTE;NORDESTE
2017;PÚBLICA;FEDERAL;1;28138;NORDESTE;SERGIPE;NORDESTE
2017;PÚBLICA;FEDERAL;1;11352;NORTE;ACRE;NORTE
2017;PÚBLICA;FEDERAL;1;10766;NORTE;AMAPÁ;NORTE
2017;PÚBLICA;FEDERAL;1;31651;NORTE;AMAZONAS;NORTE
2017;PÚBLICA;FEDERAL;1;58210;NORTE;PARÁ;NORTE
2017;PÚBLICA;FEDERAL;1;12899;NORTE;RONDÔNIA;NORTE
2017;PÚBLICA;FEDERAL;1;7487;NORTE;RORAIMA;NORTE
2017;PÚBLICA;FEDERAL;1;19813;NORTE;TOCANTINS;NORTE
2017;PÚBLICA;FEDERAL;1;31110;SUDESTE;ESPÍRITO SANTO;SUDESTE
2017;PÚBLICA;FEDERAL;1;176481;SUDESTE;MINAS GERAIS;SUDESTE
2017;PÚBLICA;FEDERAL;1;146521;SUDESTE;RIO DE JANEIRO;SUDESTE
2017;PÚBLICA;FEDERAL;1;52343;SUDESTE;SÃO PAULO;SUDESTE
2017;PÚBLICA;FEDERAL;1;66074;SUL;PARANÁ;SUL
2017;PÚBLICA;FEDERAL;1;106554;SUL;RIO GRANDE DO SUL;SUL
2017;PÚBLICA;FEDERAL;1;42402;SUL;SANTA CATARINA;SUL
2017;PÚBLICA;ESTADUAL;2;813;CENTRO-OESTE;DISTRITO FEDERAL;CENTRO-OESTE
2017;PÚBLICA;ESTADUAL;2;18009;CENTRO-OESTE;GOIÁS;CENTRO-OESTE
2017;PÚBLICA;ESTADUAL;2;18067;CENTRO-OESTE;MATO GROSSO;CENTRO-OESTE
2017;PÚBLICA;ESTADUAL;2;7504;CENTRO-OESTE;MATO GROSSO DO SUL;CENTRO-OESTE
2017;PÚBLICA;ESTADUAL;2;7163;NORDESTE;ALAGOAS;NORDESTE
2017;PÚBLICA;ESTADUAL;2;47680;NORDESTE;BAHIA;NORDESTE
2017;PÚBLICA;ESTADUAL;2;46028;NORDESTE;CEARÁ;NORDESTE
2017;PÚBLICA;ESTADUAL;2;22172;NORDESTE;MARANHÃO;NORDESTE
2017;PÚBLICA;ESTADUAL;2;18061;NORDESTE;PARAÍBA;NORDESTE
2017;PÚBLICA;ESTADUAL;2;16059;NORDESTE;PERNAMBUCO;NORDESTE
2017;PÚBLICA;ESTADUAL;2;16784;NORDESTE;PIAUÍ;NORDESTE
2017;PÚBLICA;ESTADUAL;2;9579;NORDESTE;RIO GRANDE DO NORTE;NORDESTE
2017;PÚBLICA;ESTADUAL;2;1542;NORTE;AMAPÁ;NORTE
2017;PÚBLICA;ESTADUAL;2;19941;NORTE;AMAZONAS;NORTE
2017;PÚBLICA;ESTADUAL;2;13330;NORTE;PARÁ;NORTE
2017;PÚBLICA;ESTADUAL;2;2166;NORTE;RORAIMA;NORTE
2017;PÚBLICA;ESTADUAL;2;2311;NORTE;TOCANTINS;NORTE
2017;PÚBLICA;ESTADUAL;2;388;SUDESTE;ESPÍRITO SANTO;SUDESTE
2017;PÚBLICA;ESTADUAL;2;31636;SUDESTE;MINAS GERAIS;SUDESTE
2017;PÚBLICA;ESTADUAL;2;44640;SUDESTE;RIO DE JANEIRO;SUDESTE
2017;PÚBLICA;ESTADUAL;2;208508;SUDESTE;SÃO PAULO;SUDESTE
2017;PÚBLICA;ESTADUAL;2;72274;SUL;PARANÁ;SUL
2017;PÚBLICA;ESTADUAL;2;4046;SUL;RIO GRANDE DO SUL;SUL
2017;PÚBLICA;ESTADUAL;2;13164;SUL;SANTA CATARINA;SUL
2017;PÚBLICA;MUNICIPAL;3;13190;CENTRO-OESTE;GOIÁS;CENTRO-OESTE
2017;PÚBLICA;MUNICIPAL;3;47;NORDESTE;BAHIA;NORDESTE
2017;PÚBLICA;MUNICIPAL;3;16900;NORDESTE;PERNAMBUCO;NORDESTE
2017;PÚBLICA;MUNICIPAL;3;4493;NORTE;TOCANTINS;NORTE
2017;PÚBLICA;MUNICIPAL;3;336;SUDESTE;ESPÍRITO SANTO;SUDESTE
2017;PÚBLICA;MUNICIPAL;3;1198;SUDESTE;MINAS GERAIS;SUDESTE
2017;PÚBLICA;MUNICIPAL;3;1191;SUDESTE;RIO DE JANEIRO;SUDESTE
2017;PÚBLICA;MUNICIPAL;3;46309;SUDESTE;SÃO PAULO;SUDESTE
2017;PÚBLICA;MUNICIPAL;3;1610;SUL;PARANÁ;SUL
2017;PÚBLICA;MUNICIPAL;3;11866;SUL;SANTA CATARINA;SUL
2017;PRIVADA;PRIVADA;4;325;-;-;-
