Nome Região;Sigla UF;Sigla Região;2017;2016
CENTRO-OESTE;DF;CO;89606;104855
CENTRO-OESTE;GO;CO;99746;104728
CENTRO-OESTE;MS;CO;58803;67300
CENTRO-OESTE;MT;CO;68685;75656
NORDESTE;AL;NE;34651;44821
NORDESTE;BA;NE;155901;156241
NORDESTE;CE;NE;94434;111311
NORDESTE;MA;NE;64340;63391
NORDESTE;PB;NE;53375;72554
NORDESTE;PE;NE;101267;112585
NORDESTE;PI;NE;45222;51835
NORDESTE;RN;NE;45343;60678
NORDESTE;SE;NE;27284;41018
NORTE;AC;NO;13065;18141
NORTE;AM;NO;58528;68086
NORTE;AP;NO;19752;22885
NORTE;PA;NO;102820;111290
NORTE;RO;NO;28487;32516
NORTE;RR;NO;10892;14017
NORTE;TO;NO;26030;31845
SUDESTE;ES;SE;54224;62812
SUDESTE;MG;SE;303574;343744
SUDESTE;RJ;SE;262715;324505
SUDESTE;SP;SE;855470;839060
SUL;PR;SU;201507;212769
SUL;RS;SU;192944;228924
SUL;SC;SU;140164;142016
