Ano Censo;Número de Inscritos;Nome Região;Sigla UF;Sigla Região
2016;416295;CENTRO-OESTE;DF;CO
2016;511589;CENTRO-OESTE;GO;CO
2016;302338;CENTRO-OESTE;MS;CO
2016;320689;CENTRO-OESTE;MT;CO
2016;234958;NORDESTE;AL;NE
2016;1086880;NORDESTE;BA;NE
2016;680341;NORDESTE;CE;NE
2016;443828;NORDESTE;MA;NE
2016;408013;NORDESTE;PB;NE
2016;600913;NORDESTE;PE;NE
2016;276504;NORDESTE;PI;NE
2016;354439;NORDESTE;RN;NE
2016;186862;NORDESTE;SE;NE
2016;132250;NORTE;AC;NO
2016;455043;NORTE;AM;NO
2016;112445;NORTE;AP;NO
2016;557502;NORTE;PA;NO
2016;77006;NORTE;RO;NO
2016;53800;NORTE;RR;NO
2016;186335;NORTE;TO;NO
2016;259494;SUDESTE;ES;SE
2016;1612750;SUDESTE;MG;SE
2016;1608811;SUDESTE;RJ;SE
2016;3926239;SUDESTE;SP;SE
2016;925003;SUL;PR;SU
2016;769988;SUL;RS;SU
2016;407932;SUL;SC;SU
