Ano Censo;Número de Tipo de Ingressos;Nome Região;Sigla UF;Sigla Região
2016;104855;CENTRO-OESTE;DF;CO
2016;104728;CENTRO-OESTE;GO;CO
2016;67300;CENTRO-OESTE;MS;CO
2016;75656;CENTRO-OESTE;MT;CO
2016;44821;NORDESTE;AL;NE
2016;156241;NORDESTE;BA;NE
2016;111311;NORDESTE;CE;NE
2016;63391;NORDESTE;MA;NE
2016;72554;NORDESTE;PB;NE
2016;112585;NORDESTE;PE;NE
2016;51835;NORDESTE;PI;NE
2016;60678;NORDESTE;RN;NE
2016;41018;NORDESTE;SE;NE
2016;18141;NORTE;AC;NO
2016;68086;NORTE;AM;NO
2016;22885;NORTE;AP;NO
2016;111290;NORTE;PA;NO
2016;32516;NORTE;RO;NO
2016;14017;NORTE;RR;NO
2016;31845;NORTE;TO;NO
2016;62812;SUDESTE;ES;SE
2016;343744;SUDESTE;MG;SE
2016;324505;SUDESTE;RJ;SE
2016;839060;SUDESTE;SP;SE
2016;212769;SUL;PR;SU
2016;228924;SUL;RS;SU
2016;142016;SUL;SC;SU
