Ano Censo;Número de Matrículas;Nome Região;Sigla UF;Sigla Região
2015;221045;CENTRO-OESTE;DF;CO
2015;249419;CENTRO-OESTE;GO;CO
2015;120264;CENTRO-OESTE;MS;CO
2015;164368;CENTRO-OESTE;MT;CO
2015;101389;NORDESTE;AL;NE
2015;422077;NORDESTE;BA;NE
2015;274927;NORDESTE;CE;NE
2015;148926;NORDESTE;MA;NE
2015;153616;NORDESTE;PB;NE
2015;264089;NORDESTE;PE;NE
2015;117241;NORDESTE;PI;NE
2015;126425;NORDESTE;RN;NE
2015;85990;NORDESTE;SE;NE
2015;35473;NORTE;AC;NO
2015;178267;NORTE;AM;NO
2015;44957;NORTE;AP;NO
2015;213109;NORTE;PA;NO
2015;73654;NORTE;RO;NO
2015;27093;NORTE;RR;NO
2015;75056;NORTE;TO;NO
2015;152628;SUDESTE;ES;SE
2015;813098;SUDESTE;MG;SE
2015;670931;SUDESTE;RJ;SE
2015;1982054;SUDESTE;SP;SE
2015;491529;SUL;PR;SU
2015;490989;SUL;RS;SU
2015;328683;SUL;SC;SU
