Ano Censo;Número de Instituições de Educação Superior;Nome Região;Sigla UF;Sigla Região
2017;64;CENTRO-OESTE;DF;CO
2017;89;CENTRO-OESTE;GO;CO
2017;28;CENTRO-OESTE;MS;CO
2017;59;CENTRO-OESTE;MT;CO
2017;29;NORDESTE;AL;NE
2017;133;NORDESTE;BA;NE
2017;72;NORDESTE;CE;NE
2017;45;NORDESTE;MA;NE
2017;42;NORDESTE;PB;NE
2017;106;NORDESTE;PE;NE
2017;44;NORDESTE;PI;NE
2017;28;NORDESTE;RN;NE
2017;18;NORDESTE;SE;NE
2017;11;NORTE;AC;NO
2017;20;NORTE;AM;NO
2017;15;NORTE;AP;NO
2017;54;NORTE;PA;NO
2017;34;NORTE;RO;NO
2017;7;NORTE;RR;NO
2017;24;NORTE;TO;NO
2017;78;SUDESTE;ES;SE
2017;296;SUDESTE;MG;SE
2017;136;SUDESTE;RJ;SE
2017;611;SUDESTE;SP;SE
2017;189;SUL;PR;SU
2017;123;SUL;RS;SU
2017;93;SUL;SC;SU
